resolvers       > globbing > confusing filename, name: 'Changes', lower: 'changes', already: 'CHANGES'

resolvers       > globbing > confusing filename, name: 'ANNOUNCE.txt', lower: 'announce.txt', already: 'Announce.txt'

resolvers       > globbing > confusing filename, name: 'CHANGES.txt', lower: 'changes.txt', already: 'Changes.txt'

resolvers       > globbing > confusing filename, name: 'Changes', lower: 'changes', already: 'CHANGES'

resolvers       > globbing > confusing filename, name: 'ToDo', lower: 'todo', already: 'TODO'

resolvers       > globbing > confusing filename, name: 'Changes', lower: 'changes', already: 'CHANGES'

resolvers       > globbing > confusing filename, name: 'Changes', lower: 'changes', already: 'CHANGES'

resolvers       > globbing > confusing filename, name: 'Changes', lower: 'changes', already: 'CHANGES'

resolvers       > globbing > confusing filename, name: 'Changes', lower: 'changes', already: 'CHANGES'

resolvers       > globbing > confusing filename, name: 'Changes', lower: 'changes', already: 'CHANGES'

resolvers       > globbing > confusing filename, name: 'License.txt', lower: 'license.txt', already: 'LICENSE.txt'

resolvers       > globbing > confusing filename, name: 'CHANGELOG', lower: 'changelog', already: 'ChangeLog'

resolvers       > globbing > confusing filename, name: 'Copying', lower: 'copying', already: 'COPYING'

resolvers       > globbing > confusing filename, name: 'Licence.txt', lower: 'licence.txt', already: 'LICENCE.txt'

resolvers       > globbing > confusing filename, name: 'NEWS', lower: 'news', already: 'News'

resolvers       > globbing > confusing filename, name: 'History', lower: 'history', already: 'HISTORY'

resolvers       > globbing > confusing filename, name: 'License', lower: 'license', already: 'LICENSE'

resolvers       > globbing > confusing filename, name: 'README-de', lower: 'readme-de', already: 'README-DE'

resolvers       > globbing > confusing filename, name: 'NEWS', lower: 'news', already: 'News'

resolvers       > globbing > confusing filename, name: 'License.txt', lower: 'license.txt', already: 'LICENSE.txt'

resolvers       > globbing > confusing filename, name: 'ANNOUNCE.txt', lower: 'announce.txt', already: 'Announce.txt'

resolvers       > globbing > confusing filename, name: 'SRCFILEs.txt', lower: 'srcfiles.txt', already: 'SrcFILEs.txt'

resolvers       > globbing > confusing filename, name: 'NEWS', lower: 'news', already: 'News'

resolvers       > globbing > confusing filename, name: 'Bugs', lower: 'bugs', already: 'BUGS'

